"Incidente","Anio","Mes","Municipio","Registros"
"HERIDO CON ARMA BLANCA","2022","1","SONORA","92"
"HERIDO CON ARMA DE FUEGO","2022","1","SONORA","49"
"HOMICIDIO","2022","1","SONORA","138"
"LESIONADO RIÑA","2022","1","SONORA","31"
"PRIVACIÓN DE LA LIBERTAD","2022","1","SONORA","37"
"ROBO A CASA HABITACION","2022","1","SONORA","597"
"ROBO A NEGOCIO","2022","1","SONORA","480"
"ROBO A PERSONA","2022","1","SONORA","251"
"ROBO DE VEHICULO","2022","1","SONORA","271"
"VIOLENCIA FAMILIAR","2022","1","SONORA","4100"
"HERIDO CON ARMA BLANCA","2022","2","SONORA","100"
"HERIDO CON ARMA DE FUEGO","2022","2","SONORA","33"
"HOMICIDIO","2022","2","SONORA","85"
"LESIONADO RIÑA","2022","2","SONORA","30"
"PRIVACIÓN DE LA LIBERTAD","2022","2","SONORA","37"
"ROBO A CASA HABITACION","2022","2","SONORA","496"
"ROBO A NEGOCIO","2022","2","SONORA","395"
"ROBO A PERSONA","2022","2","SONORA","237"
"ROBO DE VEHICULO","2022","2","SONORA","238"
"VIOLENCIA FAMILIAR","2022","2","SONORA","3558"
"HERIDO CON ARMA BLANCA","2022","3","SONORA","85"
"HERIDO CON ARMA DE FUEGO","2022","3","SONORA","63"
"HOMICIDIO","2022","3","SONORA","104"
"LESIONADO RIÑA","2022","3","SONORA","40"
"PRIVACIÓN DE LA LIBERTAD","2022","3","SONORA","54"
"ROBO A CASA HABITACION","2022","3","SONORA","555"
"ROBO A NEGOCIO","2022","3","SONORA","419"
"ROBO A PERSONA","2022","3","SONORA","228"
"ROBO DE VEHICULO","2022","3","SONORA","249"
"VIOLENCIA FAMILIAR","2022","3","SONORA","4420"
"HERIDO CON ARMA BLANCA","2022","4","SONORA","98"
"HERIDO CON ARMA DE FUEGO","2022","4","SONORA","49"
"HOMICIDIO","2022","4","SONORA","90"
"LESIONADO RIÑA","2022","4","SONORA","32"
"PRIVACIÓN DE LA LIBERTAD","2022","4","SONORA","37"
"ROBO A CASA HABITACION","2022","4","SONORA","580"
"ROBO A NEGOCIO","2022","4","SONORA","343"
"ROBO A PERSONA","2022","4","SONORA","232"
"ROBO DE VEHICULO","2022","4","SONORA","257"
"VIOLENCIA FAMILIAR","2022","4","SONORA","4765"
"HERIDO CON ARMA BLANCA","2022","5","SONORA","116"
"HERIDO CON ARMA DE FUEGO","2022","5","SONORA","45"
"HOMICIDIO","2022","5","SONORA","122"
"LESIONADO RIÑA","2022","5","SONORA","41"
"PRIVACIÓN DE LA LIBERTAD","2022","5","SONORA","53"
"ROBO A CASA HABITACION","2022","5","SONORA","686"
"ROBO A NEGOCIO","2022","5","SONORA","352"
"ROBO A PERSONA","2022","5","SONORA","268"
"ROBO DE VEHICULO","2022","5","SONORA","304"
"VIOLENCIA FAMILIAR","2022","5","SONORA","5084"
"HERIDO CON ARMA BLANCA","2022","6","SONORA","132"
"HERIDO CON ARMA DE FUEGO","2022","6","SONORA","50"
"HOMICIDIO","2022","6","SONORA","117"
"LESIONADO RIÑA","2022","6","SONORA","49"
"PRIVACIÓN DE LA LIBERTAD","2022","6","SONORA","32"
"ROBO A CASA HABITACION","2022","6","SONORA","586"
"ROBO A NEGOCIO","2022","6","SONORA","372"
"ROBO A PERSONA","2022","6","SONORA","232"
"ROBO DE VEHICULO","2022","6","SONORA","229"
"VIOLENCIA FAMILIAR","2022","6","SONORA","4985"
"HERIDO CON ARMA BLANCA","2022","7","SONORA","117"
"HERIDO CON ARMA DE FUEGO","2022","7","SONORA","42"
"HOMICIDIO","2022","7","SONORA","109"
"LESIONADO RIÑA","2022","7","SONORA","50"
"PRIVACIÓN DE LA LIBERTAD","2022","7","SONORA","31"
"ROBO A CASA HABITACION","2022","7","SONORA","628"
"ROBO A NEGOCIO","2022","7","SONORA","376"
"ROBO A PERSONA","2022","7","SONORA","233"
"ROBO DE VEHICULO","2022","7","SONORA","229"
"VIOLENCIA FAMILIAR","2022","7","SONORA","4839"
"HERIDO CON ARMA BLANCA","2022","8","SONORA","99"
"HERIDO CON ARMA DE FUEGO","2022","8","SONORA","37"
"HOMICIDIO","2022","8","SONORA","105"
"LESIONADO RIÑA","2022","8","SONORA","33"
"PRIVACIÓN DE LA LIBERTAD","2022","8","SONORA","34"
"ROBO A CASA HABITACION","2022","8","SONORA","675"
"ROBO A NEGOCIO","2022","8","SONORA","419"
"ROBO A PERSONA","2022","8","SONORA","291"
"ROBO DE VEHICULO","2022","8","SONORA","232"
"VIOLENCIA FAMILIAR","2022","8","SONORA","4313"
"HERIDO CON ARMA BLANCA","2022","9","SONORA","115"
"HERIDO CON ARMA DE FUEGO","2022","9","SONORA","43"
"HOMICIDIO","2022","9","SONORA","116"
"LESIONADO RIÑA","2022","9","SONORA","27"
"PRIVACIÓN DE LA LIBERTAD","2022","9","SONORA","40"
"ROBO A CASA HABITACION","2022","9","SONORA","571"
"ROBO A NEGOCIO","2022","9","SONORA","419"
"ROBO A PERSONA","2022","9","SONORA","300"
"ROBO DE VEHICULO","2022","9","SONORA","238"
"VIOLENCIA FAMILIAR","2022","9","SONORA","4200"
"HERIDO CON ARMA BLANCA","2022","10","SONORA","82"
"HERIDO CON ARMA DE FUEGO","2022","10","SONORA","38"
"HOMICIDIO","2022","10","SONORA","113"
"LESIONADO RIÑA","2022","10","SONORA","42"
"PRIVACIÓN DE LA LIBERTAD","2022","10","SONORA","35"
"ROBO A CASA HABITACION","2022","10","SONORA","556"
"ROBO A NEGOCIO","2022","10","SONORA","390"
"ROBO A PERSONA","2022","10","SONORA","284"
"ROBO DE VEHICULO","2022","10","SONORA","214"
"VIOLENCIA FAMILIAR","2022","10","SONORA","3968"
"HERIDO CON ARMA BLANCA","2022","11","SONORA","6"
"HERIDO CON ARMA DE FUEGO","2022","11","SONORA","2"
"HOMICIDIO","2022","11","SONORA","12"
"LESIONADO RIÑA","2022","11","SONORA","4"
"PRIVACIÓN DE LA LIBERTAD","2022","11","SONORA","2"
"ROBO A CASA HABITACION","2022","11","SONORA","49"
"ROBO A NEGOCIO","2022","11","SONORA","34"
"ROBO A PERSONA","2022","11","SONORA","18"
"ROBO DE VEHICULO","2022","11","SONORA","21"
"VIOLENCIA FAMILIAR","2022","11","SONORA","351"
