Sector ID,Sector,Municipality ID,Municipality,Year,Companies
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26001,Aconchi,2019,1
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26002,Agua Prieta,2015,3
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26002,Agua Prieta,2019,1
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26003,Álamos,2015,9
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26003,Álamos,2016,26
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26003,Álamos,2017,26
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26003,Álamos,2018,26
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26003,Álamos,2019,24
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26003,Álamos,2020,22
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26003,Álamos,2021,22
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26003,Álamos,2022,11
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26010,Bacerac,2015,1
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26012,Bácum,2015,6
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26012,Bácum,2016,20
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26012,Bácum,2017,20
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26012,Bácum,2018,20
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26012,Bácum,2019,19
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26012,Bácum,2020,17
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26012,Bácum,2021,20
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26012,Bácum,2022,10
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26017,Caborca,2015,17
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26017,Caborca,2016,62
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26017,Caborca,2017,62
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26017,Caborca,2018,62
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26017,Caborca,2019,101
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26017,Caborca,2020,89
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26017,Caborca,2021,86
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26017,Caborca,2022,43
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26018,Cajeme,2015,82
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26018,Cajeme,2016,138
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26018,Cajeme,2017,140
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26018,Cajeme,2018,140
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26018,Cajeme,2019,180
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26018,Cajeme,2020,118
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26018,Cajeme,2021,115
11,"Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",26018,Cajeme,2022,57
